,x,y,z
2965,-19.105,-6.6833,-8.9991
2966,-19.105,-6.1046,-8.9991
2967,-19.105,-6.0,-8.9991
2969,-19.279,-6.0,-8.9991
2970,-19.765,-6.0,-8.9991
2971,-20.5112,-6.0,-8.9991
2972,-20.8865,-6.0,-8.9991
2973,-21.135,-6.0,-8.9991
2975,-21.135,-6.0,-7.5903
2976,-21.135,-6.0,-4.2603
2977,-21.135,-6.0,-1.8375
2982,-21.0281,-6.0,-1.8375
2983,-15.4647,-6.0,-1.8375
2984,-8.935,-6.0,-1.8375
2985,-10.235,-6.0,-1.8375
2986,-10.235,-6.4743,-1.8375
2987,-10.235,-3.2973,-1.8375
2988,-10.235,0.0,-1.8375
3044,-10.235,-3.9603,-1.8375
3045,-10.235,-7.0,-1.8375
3054,-10.235,-7.0,-4.2046
3055,-10.235,-7.0,-7.6246
3056,-10.235,-7.0,-9.2925
3059,-10.4336,-7.0,-9.2925
3060,-10.9237,-7.0,-9.2925
3061,-11.4232,-7.0,-9.2925
3062,-11.933,-7.0,-9.2925
3063,-12.4325,-7.0,-9.2925
3064,-12.976,-7.0,-9.2925
3065,-13.4999,-7.0,-9.2925
3066,-13.73,-7.0,-9.2925
3067,-13.3871,-7.0,-9.2925
3068,-13.068,-7.0,-9.2925
3069,-12.731,-7.0,-9.2925
3070,-12.4133,-7.0,-9.2925
3071,-12.1069,-7.0,-9.2925
3072,-11.8042,-7.0,-9.2925
3073,-11.5487,-7.0,-9.2925
3074,-11.2976,-7.0,-9.2925
3075,-11.2002,-7.0,-9.2925
3076,-11.194,-7.0,-9.2925
3077,-11.194,-7.0,-9.2894
3078,-11.194,-7.0,-9.2875
3080,-11.194,-7.0,-9.2777
3081,-11.194,-7.0,-9.2675
3082,-11.194,-7.0,-9.2665
3083,-11.194,-7.0,-9.2575
3084,-11.194,-7.0,-9.2505
3085,-11.194,-7.0,-9.2465
3086,-11.194,-7.0,-9.2379
3087,-11.194,-7.0,-9.2289
3088,-11.194,-7.0,-9.2234
3089,-11.194,-7.0,-9.2155
3090,-11.194,-7.0,-9.2075
3091,-11.194,-7.0,-9.1885
3092,-11.194,-7.0,-9.1518
3093,-11.194,-7.0,-9.1027
3094,-11.194,-7.0,-8.9649
3095,-11.194,-7.0,-8.7685
3096,-11.194,-7.0,-8.6583
3097,-11.194,-7.0,-8.6545
3098,-11.194,-7.0,-8.6555
3099,-11.1677,-7.0,-8.6555
3100,-11.0929,-7.0,-8.6555
3101,-11.088,-7.0,-8.6555
3103,-10.2691,-7.0,-8.6555
3104,-8.988,-7.0,-8.6555
3106,-8.988,-7.0,-8.655
3107,-8.988,-7.0,-8.9555
3108,-8.988,-7.0,-8.8634
3109,-8.988,-7.0,-5.0572
3110,-8.988,-7.0,-2.3111
3111,-9.1819,-7.0,-2.6555
3112,-13.0049,-7.0,-2.6555
3113,-15.688,-7.0,-2.6555
3114,-15.688,-6.4657,-2.6555
3115,-15.688,-2.294,-2.6555
3116,-15.688,0.0,-2.6555
3351,-15.688,-0.7503,-2.6555
3352,-15.688,-7.4103,-2.6555
3355,-15.688,-7.0,-3.581
3356,-15.688,-7.0,-6.956
3357,-15.688,-7.0,-8.0821
3358,-15.688,-7.0,-8.0922
3359,-15.688,-7.0,-8.1255
3360,-15.688,-7.0,-8.133
3362,-15.7127,-7.0,-8.133
3363,-15.6958,-7.0,-8.133
3364,-15.6708,-7.0,-8.133
3365,-15.6465,-7.0,-8.133
3366,-15.631,-7.0,-8.133
3367,-15.6176,-7.0,-8.133
3368,-15.615,-7.0,-8.133
3373,-15.615,-7.0,-8.132
3374,-15.615,-7.0,-8.1018
3375,-15.615,-7.0,-8.071
3376,-15.615,-7.0,-8.0219
3377,-15.615,-7.0,-8.02
3382,-15.5901,-7.0,-8.02
3383,-15.5241,-7.0,-8.02
3384,-15.5,-7.0,-8.02
3394,-15.5,-7.0,-7.9767
3395,-15.5,-7.0,-7.3792
3396,-15.5,-7.0,-6.29
3397,-15.5,-7.0,-4.1803
3398,-15.5,-7.0,-1.5405
3399,-15.5,-7.0,0.281
3400,-15.5,-7.0,0.4
3401,-15.5,-7.0076,0.4
3402,-15.5,-4.1453,0.4
3403,-15.5,0.0,0.4
3404,-11.7634,0.0,0.4
3405,-5.253,0.0,0.4
3406,-0.0684,0.0,0.4
3407,0.0,0.0,0.4
3412,0.0,0.0,0.1021
3413,0.0,0.0,4.1083
3414,0.0,0.0,0.0141
3426,14.5194,0.0,4.1083
3427,10.5863,0.0,4.1083
3428,6.6532,4.7395,4.1083
3429,2.7202,2.7204,4.1083
3430,-0.0002,0.0,4.1095
3431,-0.0002,0.0,1.5354
3432,-0.0002,0.0,0.0
3438,-0.0003,0.0,0.0
3456,-15.2077,-4.74,-0.0002
3457,-15.2076,-0.6973,0.0
3458,-15.2076,0.0,0.0
3460,-15.2076,0.0,0.0001
3461,-15.2076,0.0,4.1083
3462,-15.2076,0.0,0.0213
3467,-15.2076,0.0,0.1001
3470,-15.2076,0.0,0.0597
3471,-15.2076,0.0,-0.0003
6402,-15.2077,0.0,0.0
6452,-15.2077,-0.0017,0.0
6453,-22.1566,-11.6768,-7.616
6454,-22.5145,-11.9734,-10.7187
6455,-22.4529,-11.411,-10.7187
6456,-22.3595,-11.9342,-10.7187
6457,-22.3388,-11.5355,-10.7187
6458,-22.3887,-11.6222,-10.7187
6459,-19.8275,-11.6662,-9.4937
6460,-8.2581,-11.6168,-10.7181
6461,-7.6952,-11.6954,-10.7187
6462,-8.2468,-11.8112,-10.7187
6463,-7.7934,-11.6896,-10.7187
6464,-8.0612,-11.5534,-10.7187
6465,-7.9617,-11.6158,-10.4514
6466,-16.5982,-11.6662,-9.4937
6467,-22.6317,-11.4984,-10.7137
6468,-22.4794,-11.9751,-10.7137
6469,-22.3559,-11.4391,-10.7137
6470,-22.6248,-11.6007,-10.7137
6471,-22.5935,-11.7457,-10.7137
6472,-22.4751,-11.5876,-10.6821
6473,-22.317,-11.6727,-10.4871
6474,-22.377,-11.802,-10.2951
6475,-22.5487,-11.7195,-10.099
6476,-18.5396,-11.621,-9.6937
6477,-8.254,-11.6262,-10.7137
6478,-7.876,-11.9584,-10.7137
6479,-8.0668,-11.4345,-10.7137
6480,-8.2021,-11.7326,-10.7137
